"","id","title","publication_date","viewCount","favoriteCount","likeCount","dislikeCount","commentCount","url"
"59","HQpbDC9bVHQ","BRUNA VIOLA EM PARAIBUNA SP 23 01 2012 FESTA DE SÃO FRANCISCO COM A GALERA DE SÃO JOSÉ DOS CAMPOS PERDIDOS NA FAMA","2012-01-25T20:26:04.000Z","11450","0","77","3","3","https://www.youtube.com/watch?v=HQpbDC9bVHQ"
"60","i1EUbeFybFQ","BRUNA VIOLA-ZUEIRA COM A EQUIPE NO CAMARIM-PAULINHO BAIXISTA","2010-09-07T23:41:05.000Z","1838","0","19","0","1","https://www.youtube.com/watch?v=i1EUbeFybFQ"
"61","jMJOstCX3_c","BRUNA VIOLA MÚSICA MELHOR SAÍDA COMPOSIÇÃO DE MANOELA ALBINO","2009-11-26T11:58:41.000Z","533840","0","2221","74","205","https://www.youtube.com/watch?v=jMJOstCX3_c"
"62","jYrnHYpzaBE","BRUNA VIOLA - LUZEIRO - PRIMAVERA DO LESTE-MT-2010","2010-06-22T01:17:24.000Z","15760","0","71","5","13","https://www.youtube.com/watch?v=jYrnHYpzaBE"
"63","K-mFfJQylBY","BRUNA VIOLA-ZUEIRA NA VAN-2011-CAMPANHA ""CALA A BOCA VÉÉIO""","2011-07-10T18:55:36.000Z","1823","0","13","1","3","https://www.youtube.com/watch?v=K-mFfJQylBY"
"64","k9eKGOWcFio","BRUNA VIOLA-SINOP-MT-2009","2009-10-01T02:07:57.000Z","512","0","9","0","0","https://www.youtube.com/watch?v=k9eKGOWcFio"
"65","KDMmhQabTC4","BRUNA VIOLA O IPÊ E O PRISIONEIRO.MPG","2010-06-17T11:34:33.000Z","37496","0","68","5","4","https://www.youtube.com/watch?v=KDMmhQabTC4"
"66","kFiYkEf-uO8","BRUNA VIOLA-SORRISO-MT-2009","2009-09-23T20:30:30.000Z","658","0","4","0","0","https://www.youtube.com/watch?v=kFiYkEf-uO8"
"67","kopk8qbcppM","BRUNA VIOLA - BARRANCA DO RIO - PRIMAVERA DO LESTE-MT-2010","2010-06-22T00:59:10.000Z","14684","0","70","2","4","https://www.youtube.com/watch?v=kopk8qbcppM"
"68","kpAMzjQxWRI","BRUNA VIOLA-ARAGUAINHA-MT-2010","2010-09-23T01:30:58.000Z","1206","0","10","0","1","https://www.youtube.com/watch?v=kpAMzjQxWRI"
"69","L2oPmLXyH5E","BRUNA VIOLA-ARAGUAINHA-MT-2010","2010-09-23T01:08:09.000Z","23982","0","155","2","10","https://www.youtube.com/watch?v=L2oPmLXyH5E"
"70","LlOm-zLEKXk","BRUNA VIOLA-SINOP-MT-2009","2009-10-04T02:30:20.000Z","179","0","1","0","0","https://www.youtube.com/watch?v=LlOm-zLEKXk"
"71","MgDBzHxGMN0","BRUNA VIOLA-ZUEIRA COM A EQUIPE NO CAMARIM","2010-09-07T23:50:06.000Z","3848","0","36","2","4","https://www.youtube.com/watch?v=MgDBzHxGMN0"
"72","mvE4GCvM0Ws","BRUNA VIOLA-ZUEIRA COM A EQUIPE NA VAN-ENTREVISTA COM BRUNA VIOLA DIRETAMENTE DA SENZALA","2010-05-31T21:19:03.000Z","7184","0","109","3","2","https://www.youtube.com/watch?v=mvE4GCvM0Ws"
"73","no52pm0fOXs","BRUNA VIOLA-ARAPUTANGA-MT-2010","2010-10-31T15:40:34.000Z","2446","0","29","0","1","https://www.youtube.com/watch?v=no52pm0fOXs"
"74","Np-B-OmzdLI","BRUNA VIOLA-ZUEIRA COM A EQUIPE NA VAN-BARATA DA VIZINHA","2010-05-18T17:28:54.000Z","2137","0","36","0","3","https://www.youtube.com/watch?v=Np-B-OmzdLI"
"75","NXTe_9Vz0bA","BRUNA VIOLA SHOW EM NOVA MUTUN NA POLO PUB MT MUSICA COCA COLA 12 03 2011","2011-03-16T20:12:20.000Z","2444","0","15","1","4","https://www.youtube.com/watch?v=NXTe_9Vz0bA"
"76","PkH-MAqMCeU","BRUNA VIOLA E ÁVILER ENSAIANDO UNS MODÃO.mpg","2010-01-13T18:04:19.000Z","207833","0","1075","19","94","https://www.youtube.com/watch?v=PkH-MAqMCeU"
